100
1	100
89	24	2126
89	80	468
89	93	1697
89	54	1208
90	99	1794
90	11	1192
90	86	1370
90	74	2736
90	93	2146
90	44	2159
90	33	1736
90	18	3362
91	25	373
91	95	977
91	21	2479
91	50	1407
91	31	2866
91	99	722
92	33	994
92	36	1471
92	2	2693
92	88	1370
92	89	2297
92	63	3207
92	51	3396
92	85	1597
92	23	868
92	72	1417
93	41	1442
93	67	1301
93	37	1863
93	86	977
93	96	767
93	20	2889
93	6	1817
93	95	3039
93	33	2253
93	61	1735
94	64	396
94	74	1172
94	98	1442
94	22	828
94	35	2340
94	20	1112
94	85	833
94	71	2561
94	11	839
94	60	1475
94	78	620
95	62	3566
95	96	2184
95	32	2626
95	45	3005
95	16	80
95	41	3333
95	9	1153
95	39	2086
95	97	3241
95	74	2632
96	95	3049
96	81	2554
96	52	2783
96	88	639
96	55	2940
96	49	3419
96	75	831
96	35	1921
97	90	2500
97	6	324
97	29	2671
97	13	3132
97	81	2641
97	82	322
97	22	1668
98	71	384
98	67	1282
98	13	3481
98	43	306
98	51	2705
98	2	1843
98	3	2822
98	89	356
98	83	531
98	45	1379
99	78	1235
99	54	1745
99	15	2421
99	36	50
99	96	1961
99	29	2103
99	85	2624
99	77	3430
100	61	400
100	99	2943
100	8	3503
100	18	1235
100	57	567
100	66	1311
100	41	1353
