1000
1	1000
27	179	1718
27	554	3011
27	744	3081
27	187	3127
27	184	1833
27	583	354
27	229	3087
27	489	2150
28	48	832
28	747	454
28	101	1103
28	431	2975
28	162	888
28	885	2780
28	135	787
28	88	1640
28	239	1414
29	711	2762
29	961	2850
29	3	672
29	892	2701
29	807	1955
29	14	1925
29	660	366
30	442	2298
30	683	983
30	619	2324
30	251	739
30	532	2316
30	384	2333
30	394	2082
30	566	543
31	797	411
31	866	2618
31	170	736
31	439	2411
31	743	2335
31	717	2288
31	138	3256
31	776	540
32	633	2687
32	747	383
32	780	180
32	889	3065
32	383	1221
32	4	2769
32	380	1590
32	784	2810
32	2	3880
32	477	2619
32	37	2992
33	661	2549
33	947	2975
33	427	2062
33	321	2758
33	476	2716
33	195	1051
33	865	1596
33	874	3225
34	440	3289
34	257	2352
34	900	3012
34	225	1050
34	53	2062
34	477	842
34	128	1877
35	43	1817
35	171	1159
35	62	1516
35	183	3430
35	212	479
35	653	2979
36	435	704
36	454	1255
36	324	861
36	768	445
36	110	2086
36	625	70
36	200	1800
36	706	619
36	885	1007
37	894	1313
37	559	2703
37	286	3545
37	936	2690
37	496	1929
37	127	2522
37	817	3217
37	194	2048
37	379	2677
38	52	448
38	234	2079
38	643	3511
38	569	2189
38	725	1500
38	584	3151
38	749	1385
38	223	1277
38	501	753
38	97	3144
39	152	434
39	475	3133
39	535	3029
39	529	3332
39	877	2008
39	930	2290
40	963	3306
40	406	842
40	653	384
40	525	2315
40	802	2247
40	938	498
40	323	2085
40	602	2303
40	390	1709
41	177	3331
41	282	3313
41	269	3291
41	892	2159
41	785	917
41	951	1172
41	774	2326
42	193	2854
42	464	1394
42	715	1338
42	73	875
42	548	3304
42	808	528
42	346	337
42	738	557
42	923	1881
43	847	826
43	99	1980
43	775	818
43	926	1880
43	772	1513
43	963	3097
43	903	1502
43	858	1489
43	748	2817
43	732	1407
44	316	1044
44	962	2250
44	320	1701
44	149	571
44	977	3304
44	444	1492
44	954	1595
44	822	2721
45	527	959
45	256	1074
45	855	514
45	830	2800
45	454	1851
45	257	795
45	998	428
45	873	1382
45	799	2314
45	188	2949
45	39	2225
46	207	3447
46	394	1852
46	275	2396
46	853	919
46	363	2920
46	516	2319
46	900	2128
46	91	2065
46	232	2681
46	783	2376
47	398	2482
47	494	2877
47	714	2072
47	685	3563
47	2	1736
47	672	331
47	288	804
47	277	2189
47	171	2616
47	139	1093
47	465	1712
48	115	2009
48	229	2329
48	597	2989
48	119	1930
48	27	864
48	766	919
48	652	1651
48	68	2726
49	979	2161
49	789	556
49	605	2503
49	703	1031
49	857	2025
49	709	2905
49	378	1587
50	757	641
50	453	2467
50	729	1735
50	877	2925
50	110	1606
50	635	2294
50	708	2934
50	977	2669
50	331	2701
51	43	1441
51	545	2771
51	433	1859
51	390	1553
51	176	2459
51	850	3557
51	677	3493
52	894	1741
52	440	2089
52	225	1760
52	864	628
52	943	606
52	635	2889
52	797	2703
52	131	602
52	342	3126
52	991	1436
53	89	3448
53	750	3428
53	381	2962
53	778	809
53	367	1387
53	170	801
53	569	1159
53	362	2051
54	982	2739
54	798	1379
54	899	4575
54	589	2161
54	145	2202
54	396	4724
55	320	2087
55	253	2774
55	775	1679
55	752	2961
55	196	1776
55	907	3295
55	905	2278
55	471	1749
55	614	1648
55	675	3121
56	800	1419
56	529	2154
56	383	556
56	627	2278
56	889	2287
56	564	1642
56	989	2877
56	282	1855
56	588	2826
57	327	2528
57	493	1838
57	271	2580
57	474	553
57	165	1746
57	449	2828
57	884	904
57	776	1703
57	730	1820
58	821	2740
58	725	1288
58	766	1278
58	704	2314
58	632	3429
58	771	1648
58	997	1331
59	813	3285
59	959	1395
59	135	930
59	559	1688
59	203	1179
59	758	3534
59	779	381
59	940	1667
59	599	1799
60	714	2125
60	778	970
60	750	785
60	973	1829
60	146	1692
60	162	957
60	873	347
60	905	3254
61	494	3521
61	82	1817
61	216	1154
61	759	3166
61	860	1913
61	649	907
62	9	1877
62	994	853
62	531	2280
62	822	1772
62	22	1876
62	532	2349
62	897	2332
62	248	310
62	519	2214
62	961	1289
63	139	333
63	740	300
63	330	3271
63	376	2935
63	6	790
63	172	473
63	313	2387
63	598	705
64	955	2274
64	250	2320
64	901	2099
64	227	802
64	288	2289
64	790	3361
64	703	3492
64	730	752
65	341	1872
65	327	2455
65	17	3528
65	32	2881
65	757	2817
65	378	2386
65	934	1749
65	179	3280
65	953	2217
65	19	3017
65	991	2814
66	64	1553
66	794	1901
66	549	2234
66	347	1269
66	182	3328
66	497	1610
66	487	2643
66	152	1532
66	300	2246
66	173	1280
66	21	642
67	305	527
67	178	653
67	998	1202
67	172	838
67	567	1334
67	116	1885
67	979	2644
67	650	727
67	807	1630
68	907	1210
68	885	1965
68	346	376
68	838	2208
68	379	1294
68	485	1666
68	710	841
69	370	2809
69	561	3182
69	7	535
69	964	396
69	396	1567
69	131	2815
69	173	685
69	190	2048
69	871	514
69	105	2400
69	236	641
70	166	2272
70	203	2150
70	170	1332
70	624	3102
70	175	2639
70	618	2511
70	36	469
70	564	726
70	123	1362
71	963	3174
71	445	1367
71	199	1777
71	311	3322
71	959	2391
71	614	1701
71	492	3125
72	671	1121
72	476	372
72	759	2254
72	995	3143
72	404	3547
72	915	3105
72	794	2858
72	832	1444
72	175	1588
73	753	649
73	180	1752
73	475	2836
73	610	3376
73	897	744
73	56	1015
73	645	3367
73	416	25
73	236	1013
74	63	427
74	42	1314
74	725	2032
74	223	2110
74	831	850
74	907	1621
74	19	1953
74	166	921
74	253	1893
74	157	2802
75	133	1144
75	413	682
75	334	2424
75	345	1288
75	172	1962
75	606	180
76	756	1121
76	960	2586
76	754	1575
76	190	1578
76	506	3516
76	525	3587
77	853	2418
77	471	2309
77	764	2748
77	912	3454
77	171	1724
77	876	1167
78	422	2067
78	343	2229
78	470	3480
78	911	3191
78	459	357
78	56	3213
78	151	949
79	998	397
79	779	2383
79	910	2572
79	169	345
79	855	1264
79	6	1156
79	257	938
79	328	1104
79	545	2635
79	906	1364
80	568	2450
80	445	1808
80	436	1928
80	945	2340
80	59	1727
80	981	2268
80	69	1776
80	740	912
80	61	2790
80	254	369
80	511	1870
81	722	2919
81	223	3229
81	694	304
81	681	2844
81	588	304
81	577	1318
81	225	225
82	455	3450
82	312	2676
82	654	566
82	347	2380
82	825	532
82	645	1685
83	550	2612
83	258	2495
83	412	1506
83	90	584
83	994	888
83	732	1704
83	331	1302
83	176	1658
83	129	2454
84	10	989
84	431	2779
84	954	2077
84	23	1518
84	610	862
84	743	383
84	427	975
84	249	386
84	94	1864
84	770	1730
85	591	2083
85	207	2974
85	146	3198
85	32	340
85	968	702
85	536	1289
85	314	322
86	336	921
86	208	585
86	580	1928
86	362	1537
86	818	2568
86	44	2574
86	751	3452
86	986	2741
86	943	3044
87	631	516
87	205	2380
87	879	2704
87	76	2114
87	188	2043
87	573	424
88	915	1077
88	867	3040
88	849	1029
88	76	1632
88	428	1467
88	532	3383
88	368	1766
88	900	1347
89	447	1125
89	573	2601
89	776	1478
89	989	2150
89	393	792
89	423	875
89	805	449
90	122	1677
90	111	3329
90	54	2321
90	906	3087
90	280	2167
90	308	679
91	610	1015
91	216	3023
91	102	1752
91	796	2541
91	399	1439
91	940	1383
91	756	3318
91	957	390
91	311	2494
91	372	987
92	741	3118
92	336	2528
92	437	2764
92	683	1495
92	593	862
92	333	2465
92	315	3168
92	726	1508
92	278	3255
93	576	3106
93	930	821
93	712	2651
93	487	558
93	604	2952
93	433	1667
93	774	1457
93	270	418
94	875	2674
94	997	2869
94	689	2963
94	878	2260
94	232	2581
94	665	3477
94	539	1932
94	329	3137
94	939	1334
94	913	1468
95	683	2907
95	121	335
95	535	1992
95	629	2708
95	219	1700
95	203	2230
95	108	2543
95	588	1800
96	866	1129
96	383	1369
96	704	1688
96	563	1349
96	466	2350
96	405	683
96	151	3372
96	418	3208
96	711	1707
96	87	2361
96	219	2791
97	92	1072
97	929	3121
97	950	3464
97	73	1405
97	240	2753
97	650	2274
98	659	1980
98	523	789
98	847	1682
98	208	2966
98	121	2740
98	857	2715
98	901	854
98	399	3042
98	541	1119
98	850	2045
99	745	1617
99	685	3002
99	368	3137
99	734	2216
99	857	1603
99	383	2700
99	828	2267
99	136	1002
99	183	2275
99	28	878
99	465	1157
100	115	652
100	548	2769
100	753	3546
100	641	3548
100	969	1180
100	67	3017
100	542	3105
100	175	1573
100	482	361
100	852	2062
101	728	707
101	909	1372
101	608	1367
101	813	368
101	235	958
101	976	759
101	618	1908
102	143	3576
102	727	3323
102	391	799
102	769	2979
102	718	1690
102	367	371
103	614	2219
103	542	780
103	573	3073
103	354	2554
103	195	2990
103	82	3415
104	449	1491
104	418	669
104	543	2058
104	207	455
104	535	3025
104	126	2444
104	456	2003
104	179	395
104	247	3174
105	827	521
105	963	462
105	392	2208
105	277	1182
105	23	3043
105	452	2174
105	280	2663
105	667	1716
105	205	1180
105	110	543
106	192	3304
106	449	3348
106	659	356
106	694	2835
106	798	1415
106	19	519
106	354	466
107	300	3384
107	984	2496
107	945	2494
107	373	3315
107	228	1049
107	707	1669
107	518	755
107	874	584
108	436	630
108	742	449
108	7	1839
108	364	2478
108	53	2287
108	199	2639
108	241	686
108	716	1106
108	422	827
108	886	3545
109	383	2953
109	307	1655
109	539	1005
109	634	2332
109	684	3199
109	632	3190
109	776	2340
109	609	3504
109	154	2721
110	891	2582
110	718	3180
110	803	2895
110	489	3214
110	379	2225
110	359	2667
110	60	2856
110	345	2793
110	222	2958
110	165	2570
111	193	3254
111	478	2141
111	617	313
111	34	3051
111	131	3208
111	247	1698
112	586	1912
112	790	1574
112	774	2566
112	698	1101
112	951	1532
112	894	2927
113	367	2303
113	507	3446
113	41	2902
113	642	806
113	92	2631
113	21	1563
113	143	2483
113	190	3332
114	191	1323
114	991	1163
114	523	2564
114	151	2532
114	956	2049
114	616	3059
114	893	709
114	265	1952
114	394	1144
115	112	2182
115	32	538
115	817	578
115	199	1948
115	718	3503
115	29	2880
115	198	2733
115	303	450
115	842	2133
116	597	1837
116	922	2402
116	630	3482
116	213	987
116	611	2701
116	344	2411
116	732	522
116	887	1416
117	998	649
117	498	1411
117	785	1686
117	670	2702
117	139	2895
117	709	1455
117	629	428
117	10	2102
117	912	817
117	745	3143
117	189	3193
118	631	2877
118	455	2805
118	204	1818
118	449	1808
118	626	3456
118	209	2906
119	554	3214
119	82	1059
119	359	1373
119	557	2357
119	215	2020
119	740	2441
119	322	3535
119	442	1328
120	633	306
120	513	1128
120	297	1385
120	907	2197
120	822	2157
120	923	1192
120	488	497
120	807	1280
120	751	1161
120	682	2769
120	194	1955
120	333	120
121	544	742
121	125	3429
121	236	1771
121	340	3446
121	791	3172
121	644	953
121	379	2020
121	391	3225
121	804	2594
121	579	1095
122	143	2686
122	742	716
122	358	2103
122	690	1964
122	960	2904
122	367	3123
122	106	1039
122	675	1091
123	928	816
123	438	1507
123	581	2628
123	560	1648
123	70	312
123	625	2798
123	27	482
123	370	1590
123	739	3125
123	792	914
123	626	3285
124	131	1852
124	848	1362
124	280	577
124	340	1902
124	293	3360
124	758	2730
124	881	3141
124	652	3491
124	963	3189
124	348	3488
124	398	505
125	678	2910
125	365	2686
125	593	3483
125	95	1811
125	110	943
125	444	3307
125	409	3321
125	821	1166
125	644	694
126	180	2711
126	12	2875
126	42	3275
126	973	733
126	365	2191
126	416	3235
127	652	2167
127	28	1839
127	180	2560
127	644	2357
127	71	2499
127	762	1248
127	964	2890
127	339	2153
128	47	1043
128	402	1396
128	528	1326
128	617	2243
128	280	1471
128	166	3213
128	708	988
128	875	644
128	323	1012
128	966	2159
129	204	2990
129	994	1126
129	464	1641
129	520	1184
129	148	342
129	492	2532
129	179	2067
129	298	327
130	689	2751
130	849	679
130	708	3487
130	356	2754
130	260	3067
130	604	2854
130	197	1010
130	463	3071
130	595	2570
130	195	3581
130	342	1139
131	138	3274
131	983	1511
131	667	1813
131	299	602
131	912	1193
131	323	1902
131	759	464
131	104	769
132	415	2065
132	630	1362
132	738	923
132	87	2203
132	35	513
132	727	1012
132	533	662
132	735	1556
132	986	3478
132	317	742
132	496	3041
133	402	378
133	429	1268
133	942	2493
133	894	3544
133	680	6425
133	295	2819
133	829	1963
133	624	1142
133	331	2913
134	71	1604
134	459	2783
134	882	3174
134	545	3138
134	561	3054
134	80	449
134	34	1799
134	390	1316
134	264	680
134	648	1768
134	748	3100
135	426	1347
135	133	539
135	246	990
135	418	3090
135	333	2128
135	253	1869
135	272	3261
135	711	982
135	22	2495
135	920	2162
136	780	2988
136	124	2611
136	814	1473
136	112	3513
136	594	3112
136	693	1086
136	636	3525
136	787	591
136	450	2975
136	78	1819
137	324	2680
137	349	2325
137	369	2313
137	24	1498
137	544	1285
137	472	1938
137	387	1809
137	459	2043
137	762	467
137	5	526
138	672	2048
138	113	329
138	159	2011
138	582	1144
138	489	2932
138	667	3029
139	468	3368
139	427	1845
139	288	954
139	480	2625
139	695	455
139	793	2917
139	198	2836
139	626	601
139	711	2741
139	936	2836
140	984	390
140	766	2789
140	641	2218
140	971	1369
140	31	902
140	700	2225
140	600	3557
140	826	3163
141	161	471
141	751	1514
141	736	2153
141	841	730
141	760	700
141	665	1905
142	847	2759
142	536	1317
142	859	3304
142	839	2696
142	319	2706
142	32	723
142	907	2631
143	575	951
143	504	1850
143	875	1017
143	920	532
143	375	2922
143	726	368
143	633	1653
143	617	2618
143	948	1364
144	292	1849
144	359	3426
144	307	2167
144	26	2822
144	312	923
144	35	750
144	984	441
144	73	2236
145	975	3545
145	256	2373
145	334	3447
145	867	2354
145	190	1865
145	421	2612
145	661	770
145	586	2153
145	496	2337
145	611	1294
145	935	964
146	260	974
146	822	1156
146	368	1236
146	425	496
146	29	2881
146	262	1016
146	716	955
146	74	1186
146	632	1913
147	37	375
147	967	3293
147	865	617
147	694	1406
147	685	1854
147	826	1013
147	228	516
147	464	2762
148	55	731
148	68	377
148	369	1492
148	407	3235
148	168	3092
148	404	1192
148	865	521
148	176	2769
148	289	1513
148	874	3078
149	857	1029
149	161	3276
149	693	2004
149	49	1039
149	311	1781
149	8	690
150	374	2274
150	295	528
150	936	3129
150	657	1669
150	660	616
150	911	2487
151	606	2214
151	255	2324
151	799	1053
151	261	1331
151	207	3327
151	27	811
151	977	3589
151	734	1945
151	377	2317
151	260	2214
152	218	548
152	690	1391
152	82	1736
152	336	1253
152	224	1393
152	660	654
152	872	2458
153	420	1442
153	727	2604
153	846	2718
153	766	860
153	695	3452
153	585	2306
153	401	1895
153	942	1771
153	91	2395
153	15	2461
153	759	1144
154	694	2364
154	81	1728
154	375	606
154	201	1385
154	879	1818
154	752	2514
154	175	3516
154	664	1085
154	936	1141
154	463	824
154	214	1725
155	233	2627
155	995	2106
155	498	2559
155	983	2278
155	156	2365
155	445	2349
155	252	1353
155	715	2815
155	814	1254
155	771	545
155	301	2360
156	674	603
156	8	2793
156	981	314
156	142	1998
156	865	572
156	643	2840
156	146	2474
156	191	1721
156	362	1609
157	101	1204
157	767	3277
157	143	438
157	35	692
157	533	2288
157	765	326
157	176	1257
157	411	1485
158	377	851
158	330	2314
158	196	1308
158	770	2165
158	940	1097
158	657	1408
159	402	2928
159	824	2919
159	689	462
159	188	447
159	766	734
159	299	3101
159	755	785
159	234	3524
159	776	348
159	339	933
159	543	696
160	302	1508
160	964	752
160	418	3322
160	277	3415
160	177	1125
160	993	976
160	714	764
160	977	377
160	230	2665
161	733	3100
161	266	2706
161	206	1576
161	172	1876
161	26	2066
161	819	987
161	427	2268
162	838	1919
162	400	2371
162	450	3260
162	555	393
162	122	1154
162	355	3408
162	519	563
162	64	2740
162	626	443
163	125	2248
163	809	1335
163	748	2498
163	281	855
163	960	663
163	877	2923
163	2	1168
164	383	1622
164	205	669
164	298	2542
164	658	2796
164	728	3555
164	872	1048
164	662	622
164	385	2892
165	76	1375
165	767	2959
165	118	1024
165	627	2154
165	921	2011
165	329	2799
165	783	2167
165	866	2291
165	880	3466
166	819	2945
166	988	607
166	898	2907
166	715	1631
166	229	413
166	798	1534
166	53	1230
166	507	2986
166	220	2766
167	116	2252
167	773	1018
167	84	1682
167	484	539
167	189	2621
167	1	402
167	749	520
167	316	3292
167	864	609
168	740	2572
168	716	3587
168	588	2312
168	123	3196
168	673	1026
168	818	1988
168	699	1788
168	668	3413
168	580	396
169	621	3441
169	837	2226
169	251	885
169	166	3365
169	542	2874
169	385	2833
169	491	849
169	445	2225
169	972	1774
169	77	1818
169	658	1478
170	94	2642
170	768	1367
170	99	3093
170	701	1142
170	982	2091
170	993	364
170	201	2437
170	154	3414
170	633	2701
171	1	475
171	890	2582
171	765	483
171	741	369
171	318	716
171	783	2605
171	778	2015
171	566	834
171	903	1703
172	121	3234
172	894	2269
172	756	1758
172	856	3029
172	562	2921
172	406	1310
172	878	1049
172	480	954
173	793	3324
173	493	2464
173	786	892
173	304	703
173	743	609
173	546	1126
173	515	2108
174	942	1918
174	564	2874
174	109	2910
174	856	2464
174	809	3372
174	962	2641
174	742	550
174	235	693
175	243	3443
175	585	1372
175	686	3304
175	127	2969
175	718	3411
175	917	1445
175	780	1742
175	467	3284
175	902	2594
175	217	496
176	330	1755
176	56	3068
176	106	2418
176	194	2402
176	703	3044
176	945	949
176	802	1541
176	730	3182
176	1	2410
176	807	1454
177	13	3572
177	594	3565
177	371	2015
177	524	2810
177	154	2357
177	402	1580
177	613	508
177	333	2844
177	310	1338
177	181	3301
177	732	391
178	59	2651
178	982	2890
178	541	2381
178	881	3110
178	547	743
178	120	928
178	114	457
178	284	945
178	504	2706
178	952	846
178	506	3474
179	771	879
179	405	3456
179	7	864
179	311	3144
179	796	3507
179	854	3240
179	767	1627
179	108	3161
179	427	2033
180	612	2111
180	970	2585
180	643	716
180	817	3563
180	566	120
180	867	2084
180	307	517
180	919	2117
181	301	3374
181	205	3393
181	506	2037
181	3	2105
181	692	1906
181	281	2212
181	963	684
181	915	3552
181	841	1740
182	171	3180
182	699	3289
182	508	2318
182	737	2960
182	666	2056
182	118	1272
182	690	2566
182	937	3392
183	495	2986
183	355	1921
183	454	3291
183	677	537
183	209	814
183	835	554
183	570	1689
183	744	3280
183	532	3438
183	640	3510
183	557	2316
184	617	3447
184	302	3003
184	75	2012
184	833	3504
184	386	2288
184	1000	1965
184	257	3574
184	25	1247
184	635	2405
185	934	1724
185	806	1595
185	515	974
185	64	433
185	34	2930
185	324	3475
186	366	1817
186	253	1625
186	441	3519
186	99	2259
186	854	2785
186	622	667
186	293	3403
186	992	2538
186	678	2048
186	59	3497
186	608	692
187	925	1550
187	265	1394
187	27	310
187	889	1090
187	870	316
187	803	2074
187	910	2517
187	703	2920
187	978	2146
187	461	1723
188	64	1516
188	322	3046
188	561	2824
188	271	689
188	340	3459
188	520	2050
188	997	1383
189	737	2094
189	995	2258
189	172	637
189	669	1462
189	549	764
189	350	2428
189	763	639
189	289	1983
189	646	585
190	775	2904
190	414	2671
190	360	711
190	483	1788
190	600	1942
190	674	979
190	804	3360
191	209	701
191	737	1756
191	236	1559
191	6	1689
191	948	559
191	29	1902
191	510	2966
192	650	3439
192	761	1154
192	877	1859
192	477	549
192	153	3245
192	463	1551
192	254	2159
192	48	3403
192	319	1215
192	895	1931
192	32	509
193	893	3087
193	658	978
193	177	3061
193	964	2172
193	208	1232
193	437	2794
193	691	1168
193	558	3225
194	769	3260
194	681	1349
194	727	2396
194	762	1773
194	337	1995
194	278	3041
195	462	689
195	348	757
195	660	2986
195	4	2400
195	520	318
195	726	3405
196	568	446
196	682	1200
196	188	2913
196	100	1710
196	73	2970
196	962	2389
196	806	3175
196	135	2516
197	857	2032
197	58	4949
197	600	1953
197	766	2426
197	854	1166
197	437	843
197	734	2072
197	1	2263
197	885	799
197	891	2447
198	654	822
198	426	2513
198	736	3509
198	845	1820
198	860	1061
198	295	2669
198	667	416
198	543	2003
198	504	2504
199	597	993
199	963	844
199	257	1193
199	142	3336
199	802	1841
199	302	2761
199	331	1840
199	849	1307
199	551	726
199	48	406
200	239	2795
200	492	3508
200	68	1719
200	293	1656
200	513	2983
200	219	471
200	101	929
200	754	498
200	10	3165
200	767	1989
200	43	1945
201	547	3084
201	187	871
201	642	674
201	943	1934
201	453	810
201	237	3022
201	194	3173
201	349	3140
201	585	2502
201	391	2888
202	162	2320
202	208	300
202	818	486
202	690	1762
202	272	3547
202	287	1887
202	821	1443
202	962	1168
202	302	2181
203	921	3206
203	633	936
203	347	1371
203	138	3405
203	798	2108
203	27	3539
203	735	2646
203	714	1352
204	714	1029
204	730	1541
204	420	3079
204	312	1566
204	666	2981
204	72	1180
204	601	2709
204	472	802
205	221	1945
205	452	2638
205	754	3390
205	355	1096
205	416	963
205	666	2132
205	480	1894
205	937	472
205	864	3542
206	729	997
206	35	882
206	819	2915
206	910	3125
206	915	3198
206	179	2644
206	202	2952
206	176	388
207	935	1052
207	148	2630
207	166	1992
207	945	3292
207	223	2136
207	482	1954
207	809	1150
207	575	3439
207	128	1591
207	839	2057
208	846	2707
208	828	2006
208	80	850
208	737	981
208	277	1779
208	651	2784
208	929	2899
208	702	1505
208	144	2666
209	961	1101
209	709	1275
209	170	853
209	1000	3147
209	821	2808
209	586	2462
209	225	2339
209	957	1245
209	490	553
209	835	936
210	234	3586
210	298	2950
210	253	2718
210	331	1769
210	178	739
210	793	1796
211	886	1339
211	711	2184
211	510	2772
211	822	2028
211	82	2035
211	30	2490
211	732	180
211	710	3649
211	87	2387
211	884	1158
212	481	1480
212	529	1568
212	633	532
212	816	343
212	606	2892
212	141	2236
212	837	2546
212	666	736
213	186	3292
213	68	2179
213	157	2967
213	989	3470
213	408	1139
213	621	622
213	427	3371
214	916	1093
214	722	941
214	259	1531
214	972	2102
214	172	2511
214	8	1542
214	717	1907
214	815	1604
214	247	342
214	968	3043
215	325	1009
215	547	1973
215	623	332
215	186	1776
215	274	1262
215	131	953
215	569	1067
216	249	2964
216	668	1718
216	407	1110
216	876	80
216	838	2020
216	5	2564
216	780	2487
216	359	3479
216	511	1890
217	691	1911
217	92	2345
217	421	2172
217	157	820
217	841	3400
217	561	2313
217	144	2886
217	898	1413
217	122	964
217	237	3320
218	496	150
218	465	6218
218	434	3456
218	247	1209
218	159	2467
218	170	1325
218	171	3174
219	16	1514
219	202	1888
219	149	949
219	243	3318
219	73	935
219	953	1979
220	803	2508
220	129	3249
220	48	1995
220	823	2202
220	497	399
220	543	1513
220	474	2216
220	50	2617
220	874	501
220	690	2902
220	392	3559
221	145	1017
221	36	2307
221	549	2409
221	425	1908
221	184	2209
221	879	3151
221	181	1419
222	904	1453
222	81	1405
222	721	871
222	662	3399
222	718	3178
222	836	1538
223	358	1848
223	124	2099
223	968	612
223	435	3251
223	811	3105
223	38	3233
223	457	2266
223	852	3092
223	356	563
224	108	3301
224	358	2233
224	338	1570
224	14	2309
224	163	2919
224	276	2098
224	514	1979
224	848	986
224	125	2030
224	654	1583
224	983	2217
225	459	2595
225	396	240
225	18	3132
225	710	1780
225	620	2996
225	307	3478
225	852	2334
225	297	816
226	99	3251
226	590	3056
226	678	2850
226	183	1278
226	839	3565
226	828	2629
226	787	2207
227	146	1309
227	73	2635
227	723	579
227	996	1801
227	698	1903
227	812	1300
227	304	993
227	652	2119
227	84	1902
228	435	479
228	955	3147
228	191	2074
228	578	3312
228	808	3004
228	721	337
229	609	563
229	174	3012
229	490	2602
229	392	2215
229	889	1609
229	960	3057
230	258	737
230	461	2361
230	993	2388
230	221	1989
230	318	2999
230	682	603
230	891	1635
230	335	1198
230	811	1358
230	541	1819
231	570	2624
231	591	2161
231	948	389
231	53	2514
231	711	2078
231	371	2210
231	4	1935
231	891	934
232	129	953
232	375	3316
232	811	1561
232	28	1414
232	616	596
232	446	1116
232	737	1452
232	214	2139
232	688	2184
232	704	1543
232	556	2010
233	702	1697
233	165	339
233	873	2961
233	409	529
233	430	3371
233	487	1319
233	438	1228
233	908	2184
233	384	544
233	575	3137
233	67	1397
234	481	1884
234	608	1703
234	28	1279
234	575	2371
234	16	2854
234	391	1157
234	808	1844
234	632	1437
234	27	1526
235	406	1904
235	875	1470
235	679	1889
235	954	2489
235	307	3322
235	201	2076
235	991	479
235	942	2863
235	605	3485
236	331	1561
236	49	834
236	926	2037
236	723	1741
236	716	2389
236	491	1518
236	788	1740
236	123	2780
237	508	2890
237	546	331
237	427	1757
237	252	2668
237	624	3078
237	783	1976
237	47	1794
238	33	2148
238	477	1027
238	396	585
238	810	2752
238	242	1603
238	503	3526
238	989	626
239	145	865
239	514	807
239	607	1638
239	113	3487
239	433	1788
239	812	3452
239	555	2903
240	515	2829
240	412	890
240	59	2619
240	19	1368
240	809	2515
240	138	1586
241	394	2792
241	334	2967
241	80	1455
241	875	2754
241	136	3274
241	728	1064
241	845	1487
241	156	3492
241	459	637
